ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.4194336,0.5195313,0.09667969,0.04199219,-0.6699219,0.7714844,3,-28,-2,3,-2,-3,-1,-7,-2,-1,-6,-17,-20,-20,-5,-3,-59.8125,-59.8125,-59.8125,10.6875,10.6875,10.6875,7.10082,6.316453,4.400929,3.812395,5.014064,4.995955,-0.03245888,-0.1662793,1.263901,0.06100196,0.06046457,1.466478,0.02528646,0.2252622,1.602004,0.0006019888,-0.1872925,1.268778,0.0889523,0.0886334,1.449522,0.02521533,-0.2269087,1.562468,0.02919581,-0.5350145,1.505402,-0.1522642,-0.04926734,1.574863,-0.06067271,-0.5275197,1.486029,-0.1911756,-0.2345725,1.509107,0.2181047,-0.1858232,1.424615,NA,NA,Unknown,NotTracked,
-0.4370117,0.4628906,0.2099609,-0.159668,-0.6572266,0.6518555,24,12,12,5,1,1,7,20,20,4,0,5,34,4,10,13,-47.25,-47.25,-47.25,1,1,1,6.98167,6.24114,4.3108,3.823032,5.297421,4.990481,-0.02643787,-0.1311261,1.268138,0.05071729,0.04856275,1.451241,0.0250195,0.2250947,1.602207,0.002933197,-0.1545978,1.274,0.08867142,0.0799356,1.43575,0.02514629,-0.227073,1.562293,0.02922331,-0.5350435,1.505451,-0.1521276,-0.04932016,1.574755,-0.06050572,-0.5277478,1.486394,-0.1912666,-0.2337726,1.506109,0.2181263,-0.1864012,1.425033,NA,NA,Unknown,Unknown,
-0.5732422,0.6030273,0.2543945,-0.2758789,-0.5981445,0.527832,89,-11,-20,-18,-7,-2,-2,9,8,-11,-9,-4,-8,-9,-12,3,-100.375,-100.375,-100.375,-6.375,-6.375,-6.375,6.667507,6.000952,4.028329,3.816379,5.448682,4.998661,-0.02220675,-0.09763597,1.275285,0.04738267,0.02958074,1.428008,0.0243059,0.2259036,1.602673,0.00852243,-0.112779,1.286688,0.08676033,0.08220244,1.423348,0.02535309,-0.2264894,1.562006,0.02935677,-0.5354222,1.505567,-0.1521536,-0.04930456,1.574761,-0.06036125,-0.5281786,1.486374,-0.1874567,-0.2324565,1.499261,0.2183775,-0.1894251,1.429124,NA,NA,Unknown,Unknown,
-0.5732422,0.6030273,0.2543945,-0.2758789,-0.5981445,0.527832,89,-11,-20,-18,-7,-2,-2,9,8,-11,-9,-4,-8,-9,-12,3,-100.375,-100.375,-100.375,-6.375,-6.375,-6.375,6.667507,6.000952,4.028329,3.816379,5.448682,4.998661,-0.02697043,-0.07201983,1.282265,0.05374778,-0.001825678,1.398396,0.02411141,0.2261146,1.604329,0.002458431,-0.09231845,1.292286,0.07117292,0.05350891,1.401333,0.02566461,-0.2258997,1.561792,0.0297293,-0.5359651,1.505668,-0.1523832,-0.04934895,1.574845,-0.05970795,-0.5290658,1.483599,-0.185037,-0.2319576,1.49622,0.2181769,-0.1927187,1.440558,NA,NA,Unknown,NotTracked,
-0.4707031,0.6606445,0.6118164,-0.2734375,-0.6132813,0.578125,-9,-4,-19,-39,-27,-5,-2,-2,-19,-7,2,4,-10,-8,-15,-28,-40.1875,-40.1875,-40.1875,-5.375,-5.375,-5.375,6.417274,5.659888,3.766608,3.794788,5.582631,5.009067,-0.02888432,-0.05533373,1.289218,0.04426203,-0.02560621,1.365912,0.02345617,0.2254357,1.606427,0.01399795,-0.05175969,1.317312,0.06805801,0.0326293,1.3535,0.02592182,-0.2259663,1.562073,0.03025726,-0.5368732,1.505645,-0.1524975,-0.04933963,1.574876,-0.05893471,-0.5306855,1.478593,-0.1567445,-0.2410493,1.455788,0.2190682,-0.1939891,1.448043,NA,NA,NotTracked,NotTracked,
-0.1225586,1.084473,0.9624023,-0.6201172,-0.2587891,-0.1367188,39,-25,-11,3,1,-8,0,10,6,4,0,-5,5,2,-9,2,5.6875,5.6875,5.6875,-10.9375,-10.9375,-10.9375,6.37906,5.452664,3.66492,3.787163,5.616252,5.034077,-0.03367307,-0.05768776,1.291247,0.01996674,-0.06380779,1.338604,0.02245728,0.2241472,1.608699,0.00414882,-0.05558023,1.29284,0.03022536,-0.02403343,1.322667,0.02646405,-0.2260078,1.562791,0.03086874,-0.5371853,1.505806,-0.1526885,-0.04907054,1.575158,-0.05799905,-0.5308256,1.476205,-0.1565055,-0.2406909,1.455201,0.2225,-0.199287,1.458697,NA,NA,NotTracked,NotTracked,
0.3105469,1.294434,1.361328,0.0546875,-0.7583008,0.9775391,10,22,26,-25,-15,0,-1,1,-2,2,3,5,2,14,10,1,43.3125,43.3125,43.3125,-54.6875,-54.6875,-54.6875,6.39276,5.356402,3.638739,3.766577,5.472786,5.067255,-0.02475687,-0.06842754,1.275659,0.02418803,-0.07468627,1.334562,0.02136439,0.2230675,1.61039,0.01200433,-0.06682374,1.298802,0.04205054,-0.04588828,1.31675,0.02705297,-0.2261519,1.565591,0.03118527,-0.5371517,1.506063,-0.1528391,-0.04858955,1.575547,-0.05748214,-0.5303581,1.474392,-0.1610265,-0.2277139,1.455587,0.2284803,-0.2061331,1.46437,NA,NA,NotTracked,NotTracked,
-0.3139648,0.9389648,0.8837891,-0.1274414,-0.5864258,0.5961914,48,6,-14,0,1,0,-4,10,0,-9,-31,-74,-22,-15,-8,0,11.625,11.625,11.625,-40.6875,-40.6875,-40.6875,6.370261,5.468259,3.637809,3.72414,5.282403,5.136704,-0.02343025,-0.04485639,1.252339,0.05128675,-0.03838632,1.342326,0.02103271,0.2228524,1.61086,0.02026146,-0.05016481,1.290526,0.07173871,0.02309741,1.335,0.02686289,-0.2264656,1.566858,0.03122527,-0.5370983,1.50618,-0.1528053,-0.04835252,1.575647,-0.05746832,-0.5302382,1.474428,-0.1618899,-0.2274101,1.451871,0.2293121,-0.2076956,1.46515,NA,NA,NotTracked,NotTracked,
-0.6137695,1.126465,0.5341797,0.06298828,-0.722168,0.6196289,42,-2,18,11,6,11,3,50,7,4,2,13,22,-5,16,4,165.5,165.5,165.5,-146,-146,-146,6.502822,5.631666,3.598398,3.555992,5.057924,5.227322,-0.0247859,-0.1016868,1.220894,0.02399875,0.009338104,1.355449,0.02043914,0.223509,1.611854,0.00184535,-0.1242399,1.217062,0.05191094,0.05364238,1.385286,0.02665435,-0.2255754,1.56644,0.03123884,-0.5370451,1.506423,-0.1527733,-0.04812993,1.575763,-0.0576169,-0.5299342,1.47584,-0.1627097,-0.2292805,1.429973,0.2305511,-0.2038307,1.461442,NA,NA,NotTracked,NotTracked,
-0.8266602,0.7314453,0.4194336,0.3842773,-1.060547,0.8515625,0,13,5,4,0,15,8,-73,-2,1,5,10,47,19,-8,4,200.4375,200.4375,200.4375,-154.5625,-154.5625,-154.5625,6.823071,5.958985,3.557695,3.381197,4.928001,5.23537,-0.02568985,-0.1302139,1.215678,0.01742326,0.03286092,1.359161,0.01992821,0.2257618,1.613392,-0.01360719,-0.1701787,1.204056,0.03032625,0.07145967,1.3899,0.02639733,-0.2253238,1.565819,0.03112158,-0.5369002,1.506687,-0.1524835,-0.0482728,1.575619,-0.05796717,-0.5295657,1.47782,-0.1923076,-0.2186795,1.472278,0.2287918,-0.1805409,1.435435,NA,NA,NotTracked,NotTracked,
