ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.6376953,0.3369141,0.2358398,0.2089844,-1.012695,0.5546875,9,3,14,47,-36,8,-26,-3,0,1,-2,-25,-26,-10,0,-1,48.375,48.375,48.375,10.125,10.125,10.125,7.215791,6.204892,3.395062,3.149725,4.800014,5.0924,-0.0121751,-0.2253161,1.217246,0.05888265,0.05939494,1.345907,0.01566807,0.2272268,1.601405,0.01883827,-0.1966601,1.240436,0.02275019,0.03673513,1.31712,0.02441806,-0.224912,1.557497,0.02883508,-0.5300099,1.504693,-0.1516858,-0.03933,1.570637,-0.06044111,-0.5215816,1.478359,-0.2009705,-0.2034753,1.460225,0.2632197,-0.1300935,1.403213,NA,NA,Unknown,Unknown,
-0.5200195,0.1655273,0.06494141,0.171875,-1.091309,0.5229492,-17,-8,-4,1,34,69,-17,39,3,4,-4,-36,-40,13,6,-2,23,23,23,6,6,6,7.255601,6.098621,3.386011,3.165207,4.900212,5.016204,-0.00941839,-0.2154759,1.228803,0.1007936,0.04311636,1.351347,0.01527424,0.227466,1.601772,0.01863417,-0.1850396,1.238913,0.0730082,0.02774167,1.294896,0.02428025,-0.2248547,1.557261,0.02877094,-0.5300888,1.504682,-0.1516735,-0.0394431,1.570684,-0.06065676,-0.5217614,1.478475,-0.2018648,-0.2033802,1.460397,0.2591169,-0.1261531,1.398979,NA,NA,Unknown,Unknown,
-0.4116211,0.3618164,0.01708984,-0.1186523,-0.9648438,0.4008789,9,3,6,10,94,97,28,-8,1,0,-1,-3,-2,2,20,8,32.8125,32.8125,32.8125,24.3125,24.3125,24.3125,7.254296,5.910836,3.327996,3.199888,5.141106,4.906265,-0.006528221,-0.1982588,1.241773,0.06640918,0.02445896,1.31794,0.01513113,0.2268221,1.602219,0.01791751,-0.1662633,1.245677,0.05058257,-0.02076029,1.277742,0.02418383,-0.2248627,1.557278,0.02862293,-0.5307499,1.504568,-0.1516646,-0.03946129,1.570706,-0.06105897,-0.5228604,1.478912,-0.2026505,-0.2032977,1.460675,0.253889,-0.1230074,1.395146,NA,NA,Unknown,Unknown,
-0.4116211,0.3618164,0.01708984,-0.1186523,-0.9648438,0.4008789,9,3,6,10,94,97,28,-8,1,0,-1,-3,-2,2,20,8,32.8125,32.8125,32.8125,24.3125,24.3125,24.3125,7.254296,5.910836,3.327996,3.199888,5.141106,4.906265,-0.005420859,-0.1769866,1.258318,0.05184988,-0.003777517,1.292562,0.01511891,0.2256856,1.602791,0.0206375,-0.1463876,1.264407,0.04292509,-0.04324979,1.253868,0.0240696,-0.2250751,1.557712,0.02851627,-0.530938,1.50456,-0.1516775,-0.03947732,1.570778,-0.06131961,-0.5233443,1.479332,-0.2033846,-0.2032828,1.461089,0.2516779,-0.1240949,1.395283,NA,NA,NotTracked,Unknown,
-0.293457,0.6328125,-0.001464844,-0.2446289,-0.8710938,0.2236328,7,0,-2,4,-7,-4,-24,-1,-1,-5,-4,-6,-22,-9,-21,-6,38.8125,38.8125,38.8125,45.9375,45.9375,45.9375,7.263378,5.640037,3.250111,3.235988,5.294973,4.879206,0.003581688,-0.1523431,1.27064,0.05147122,-0.03416083,1.275782,0.0151501,0.2249963,1.603317,0.003826383,-0.1056424,1.243641,0.04161881,-0.07010127,1.233,0.02420448,-0.225073,1.558491,0.02858478,-0.530495,1.504874,-0.1517029,-0.03952231,1.570892,-0.06107637,-0.5229282,1.479598,-0.2040983,-0.2034902,1.461866,0.2433085,-0.1247459,1.394128,NA,NA,NotTracked,NotTracked,
-0.0009765625,0.8852539,0.002441406,-0.1289063,-0.5673828,0.2163086,6,-11,-9,-10,-3,18,-5,-7,-3,-6,1,4,-4,-3,21,2,7.4375,7.4375,7.4375,42.1875,42.1875,42.1875,7.252218,5.33913,3.166874,3.279753,5.387109,4.88903,0.02620121,-0.1110173,1.240827,0.04425457,-0.06945626,1.256122,0.01539289,0.2241704,1.604061,0.004843541,-0.07500385,1.22306,0.06843854,-0.1255506,1.273667,0.02375091,-0.2241678,1.561666,0.02928806,-0.5278826,1.505692,-0.1524751,-0.0390767,1.571114,-0.05971256,-0.5202433,1.479307,-0.2018249,-0.2043243,1.459942,0.2620322,-0.1161827,1.403352,NA,NA,NotTracked,NotTracked,
0.8198242,1.759766,0.5429688,-0.1015625,-0.5683594,0.2949219,-2,-4,-12,-12,-13,-3,-10,-2,2,-1,-2,-4,-18,-20,-16,1,-32.75,-32.75,-32.75,-24.0625,-24.0625,-24.0625,7.230132,5.046762,2.988138,3.297904,5.365353,4.926342,-0.02140812,-0.1423815,1.254459,-0.002368417,-0.1331015,1.225178,0.01533709,0.2233561,1.605807,-0.01921885,-0.1076196,1.244918,-0.002611644,-0.1477017,1.2,0.02339751,-0.222884,1.565088,0.03045691,-0.5238378,1.508465,-0.1537203,-0.03809981,1.572603,-0.0576571,-0.5165927,1.479221,-0.2007546,-0.2069868,1.460032,0.1680897,-0.1260986,1.343716,NA,NA,NotTracked,NotTracked,
0.4970703,1.184082,0.4379883,-0.105957,-0.7919922,0.3979492,34,5,4,-3,-1,19,-4,2,2,4,2,0,1,-9,1,-1,-150.8125,-150.8125,-150.8125,-55.1875,-55.1875,-55.1875,7.075729,4.998224,2.945824,3.270911,5.336267,4.945473,-0.02503655,-0.1436803,1.258089,0.0005651477,-0.1422765,1.220629,0.01524225,0.2232877,1.605921,0.008326693,-0.1161755,1.205154,0.002936393,-0.1559658,1.1958,0.02308488,-0.2225545,1.566269,0.03066799,-0.5230756,1.508911,-0.1541961,-0.03785244,1.573217,-0.05722748,-0.5157852,1.479086,-0.2006331,-0.2090228,1.460983,0.1686101,-0.1273147,1.343225,NA,NA,NotTracked,NotTracked,
0.1035156,1.033203,0.2851563,-0.1850586,-1.005371,0.5991211,9,2,19,8,4,10,7,8,-4,-3,-3,-11,-8,-8,-3,-5,-94.875,-94.875,-94.875,6.625,6.625,6.625,7.02415,5.011263,2.942704,3.264225,5.272189,4.981337,-0.02531021,-0.1508354,1.258911,0.01887006,-0.1325449,1.22434,0.0150241,0.2232006,1.606104,0.007793163,-0.1212055,1.207914,0.02676659,-0.1560759,1.19468,0.0228398,-0.2223387,1.567009,0.03079986,-0.5225716,1.509243,-0.1550127,-0.0377552,1.57444,-0.05695007,-0.5153147,1.479011,-0.2013094,-0.2107818,1.462652,0.2372303,-0.1577369,1.408883,NA,NA,NotTracked,NotTracked,
0.08740234,0.9418945,0.3720703,-0.3256836,-0.625,0.3779297,-20,51,-19,-9,-5,-3,-3,-1,-4,-1,1,0,3,10,1,2,-53.1875,-53.1875,-53.1875,23.625,23.625,23.625,6.935561,5.058423,2.91969,3.33164,5.167755,5.020682,-0.02276091,-0.1542605,1.258999,0.01779951,-0.1347373,1.227323,0.01469978,0.2232992,1.606465,-0.02047615,-0.1189194,1.247706,0.01903417,-0.1628948,1.2038,0.02298656,-0.2222131,1.566986,0.03075892,-0.5220227,1.509705,-0.1559903,-0.03771972,1.575917,-0.05684199,-0.5149413,1.479187,-0.2025124,-0.2135475,1.466196,0.23749,-0.1578595,1.409421,NA,NA,NotTracked,NotTracked,
