ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9516602,0.1923828,0.07128906,0.9541016,-0.2490234,0.1362305,0,-1,0,-2,-1,-1,-6,0,1,-2,-1,-2,-1,-2,0,0,-2.8125,-2.8125,-2.8125,-0.125,-0.125,-0.125,6.981066,2.824893,2.332539,3.321108,2.954477,5.535739,-0.1648341,-0.557273,1.44939,0.2394396,-0.573873,1.458834,0.03443041,0.2218012,1.597614,-0.2034866,-0.5623345,1.44391,0.2743445,-0.5870876,1.45225,0.02887219,-0.2287273,1.571458,0.03344361,-0.5360211,1.515306,-0.1582988,-0.04596698,1.587767,-0.05562305,-0.5269102,1.482611,-0.1943671,-0.2979767,1.569515,0.253282,-0.300446,1.572105,NA,NA,NotTracked,NotTracked,
0.9584961,0.1826172,0.05615234,0.9707031,-0.25,0.1323242,0,-1,0,-3,-1,0,2,-2,-1,-1,-1,1,10,3,0,0,-1.0625,-1.0625,-1.0625,1.625,1.625,1.625,6.979926,2.825287,2.330853,3.321399,2.955682,5.536236,-0.1643981,-0.557473,1.448219,0.2395712,-0.5741046,1.458514,0.03443119,0.2217769,1.597564,-0.2043009,-0.555531,1.448289,0.2757366,-0.5607129,1.460842,0.02890784,-0.228761,1.571406,0.0334763,-0.5360604,1.51523,-0.1583064,-0.04611033,1.587736,-0.05559481,-0.5269699,1.482538,-0.1943562,-0.2979927,1.569501,0.2532936,-0.3005448,1.572127,NA,NA,NotTracked,NotTracked,
0.9638672,0.1806641,0.05419922,0.9589844,-0.324707,0.1352539,-2,-1,-2,-2,-1,-2,-1,-1,0,-1,-2,-1,2,10,3,-2,-2.4375,-2.4375,-2.4375,18.5,18.5,18.5,6.983747,2.823096,2.324939,3.337214,2.972937,5.538498,-0.1647501,-0.5567881,1.448249,0.2393791,-0.5738907,1.45857,0.03444236,0.2216466,1.597541,-0.2022076,-0.5508152,1.442122,0.275481,-0.5592214,1.4605,0.02892182,-0.2287741,1.571391,0.03349877,-0.5360693,1.515182,-0.1582853,-0.0461422,1.587721,-0.05557185,-0.5269848,1.482495,-0.1943392,-0.2980092,1.569445,0.2532769,-0.3005747,1.57214,NA,NA,NotTracked,NotTracked,
0.9619141,0.1738281,0.03515625,0.9868164,-0.4057617,0.1694336,-2,-1,12,0,-2,-1,-1,-2,0,0,0,2,-4,0,1,1,-3.5625,-3.5625,-3.5625,53.25,53.25,53.25,6.984968,2.821948,2.320929,3.355515,2.993397,5.549774,-0.1638447,-0.5565082,1.445663,0.2389155,-0.5739101,1.458296,0.03444082,0.2216704,1.597548,-0.2048607,-0.5650312,1.448726,0.2748416,-0.5629245,1.45662,0.02893435,-0.2287973,1.57138,0.03353474,-0.5360628,1.515128,-0.1582918,-0.04617242,1.587761,-0.05554594,-0.5269526,1.482406,-0.1943364,-0.298059,1.569486,0.2532219,-0.3005541,1.57224,NA,NA,NotTracked,NotTracked,
1.09082,0.3398438,-0.008789063,1.022949,-0.2949219,0.1669922,0,-2,-21,-12,0,-3,0,7,-1,-3,-3,-3,5,-6,-2,-4,4.125,4.125,4.125,81.25,81.25,81.25,6.977766,2.84078,2.33561,3.428354,3.041542,5.56571,-0.1631065,-0.5555071,1.442119,0.2392263,-0.5732807,1.457951,0.0344343,0.2216737,1.597542,-0.2035232,-0.5601816,1.444075,0.2769483,-0.5645081,1.462072,0.02892762,-0.2287878,1.571345,0.03361567,-0.5360219,1.514976,-0.1582946,-0.04617105,1.587765,-0.05547897,-0.5269416,1.48227,-0.1944641,-0.2977996,1.569591,0.2532279,-0.3005422,1.572229,NA,NA,NotTracked,NotTracked,
1.149414,0.4990234,0.04394531,1.057617,-0.4526367,0.3447266,-4,12,3,3,1,-2,-1,-4,-1,-2,-1,3,17,8,-4,-2,-37.8125,-37.8125,-37.8125,59.5625,59.5625,59.5625,6.853408,2.913924,2.438761,3.525662,3.173866,5.566431,-0.1581752,-0.5432259,1.425427,0.2362653,-0.5620125,1.446855,0.03430982,0.2216787,1.597731,-0.1857349,-0.5354506,1.403838,0.2767391,-0.5613822,1.452772,0.02901258,-0.2287213,1.571251,0.03375928,-0.5358424,1.514769,-0.1584141,-0.04611189,1.588016,-0.05532929,-0.5267085,1.482085,-0.1951656,-0.2972723,1.570452,0.253976,-0.3001722,1.572713,NA,NA,NotTracked,NotTracked,
1.248535,0.4243164,0.2558594,0.8920898,-0.456543,0.3925781,2,27,41,47,5,1,0,2,-1,-1,-2,-10,-25,0,-4,1,-34.6875,-34.6875,-34.6875,23.9375,23.9375,23.9375,6.65404,3.046896,2.594279,3.58752,3.305391,5.541309,-0.159839,-0.5189983,1.416453,0.2314916,-0.5321053,1.431368,0.03415946,0.2217843,1.59781,-0.1766243,-0.5161143,1.381952,0.267899,-0.5216837,1.429176,0.0290634,-0.2286346,1.571043,0.03382919,-0.5355645,1.514204,-0.1584518,-0.04610125,1.588053,-0.05526591,-0.5264275,1.481537,-0.1956831,-0.2969333,1.57085,0.2561274,-0.2989637,1.572688,NA,NA,NotTracked,NotTracked,
1.259277,0.612793,0.5288086,0.8120117,-0.5634766,0.5463867,3,26,54,6,-1,-1,-1,-1,0,3,-3,0,10,-6,3,-2,61.875,61.875,61.875,16.625,16.625,16.625,6.578528,3.271746,2.727373,3.648479,3.56047,5.495951,-0.1570867,-0.5009552,1.393651,0.2165808,-0.5022975,1.404347,0.03401795,0.2216735,1.597738,-0.1707193,-0.5029978,1.354818,0.2476046,-0.4983432,1.385926,0.02897213,-0.2285268,1.570557,0.03353272,-0.5350332,1.512975,-0.1584688,-0.04609625,1.588033,-0.05562514,-0.5259237,1.480237,-0.1964186,-0.2957346,1.570687,0.2604251,-0.2923389,1.573826,NA,NA,NotTracked,NotTracked,
0.9643555,0.793457,0.7905273,0.7099609,-0.5585938,0.6357422,9,1,40,9,-1,0,1,11,4,3,0,1,-21,-18,8,4,13.0625,13.0625,13.0625,-7.4375,-7.4375,-7.4375,6.492034,3.784063,2.898417,3.679116,3.753325,5.455801,-0.1248715,-0.4640616,1.358667,0.1641549,-0.3915183,1.362579,0.03368897,0.2215941,1.597966,-0.1600393,-0.4283433,1.347013,0.1561174,-0.3706142,1.329918,0.02877329,-0.2280704,1.570008,0.0325211,-0.5332454,1.510487,-0.1585531,-0.04603905,1.588317,-0.05668751,-0.5241318,1.477739,-0.1983672,-0.2885979,1.570326,0.2731636,-0.2566521,1.578221,NA,NA,NotTracked,Unknown,
0.550293,0.6367188,0.7348633,0.644043,-0.6928711,0.7583008,1,13,-11,6,4,2,2,2,-4,-3,-3,-12,-46,-32,8,-4,11.3125,11.3125,11.3125,9.75,9.75,9.75,6.434473,4.20961,3.014676,3.713652,3.96426,5.413534,-0.1163735,-0.4302059,1.332267,0.123526,-0.3282234,1.345861,0.03350855,0.2217018,1.59833,-0.1437339,-0.3995052,1.323183,0.1231781,-0.2958489,1.321187,0.02883187,-0.227938,1.570018,0.03289328,-0.5329317,1.510336,-0.1584834,-0.04599224,1.588489,-0.05616885,-0.5240294,1.477481,-0.2005309,-0.2793707,1.568887,0.2745084,-0.2444045,1.567985,NA,NA,Unknown,Unknown,
