ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.3710938,0.4643555,0.01074219,-0.171875,-0.8168945,0.3330078,-1,2,2,-25,4,21,21,4,4,0,1,-3,9,3,-3,5,15.6875,15.6875,15.6875,8.0625,8.0625,8.0625,7.360666,5.87756,3.566562,3.160977,5.278459,4.87327,-0.009232198,-0.1377373,1.266485,0.03595413,-0.008221357,1.272426,0.01853346,0.2274041,1.60883,-0.01092789,-0.091093,1.238423,0.02717315,-0.04010404,1.221974,0.0268183,-0.2211376,1.558275,0.02892743,-0.5333195,1.507669,-0.1546385,-0.04163024,1.581939,-0.06085767,-0.5262926,1.484792,-0.2009569,-0.2031574,1.463494,0.2447886,-0.1120921,1.389618,NA,NA,NotTracked,NotTracked,
-0.1665039,0.9326172,0.0234375,-0.1430664,-0.8857422,0.2905273,-12,-4,-3,13,1,-7,-29,-44,2,-4,-2,4,13,-3,1,0,5.25,5.25,5.25,15.1875,15.1875,15.1875,7.306775,5.47166,3.377312,3.167038,5.34631,4.8653,-0.02238556,-0.1275771,1.260354,0.02670443,-0.03897949,1.251071,0.01902026,0.2253982,1.609856,-0.04673693,-0.09491179,1.2492,0.03209456,-0.06500509,1.205459,0.02700186,-0.2202482,1.55935,0.02950692,-0.5303903,1.508374,-0.154271,-0.0394302,1.583363,-0.05963225,-0.5234848,1.48616,-0.1996443,-0.2053594,1.459698,0.2412305,-0.1181835,1.38586,NA,NA,NotTracked,NotTracked,
0.1704102,1.098145,0.1557617,-0.1416016,-0.8256836,0.3227539,1,-36,-10,-7,-8,-4,4,15,-6,-2,-5,-13,-26,-5,-7,-3,-5.25,-5.25,-5.25,25.1875,25.1875,25.1875,7.273952,5.228485,3.244417,3.203123,5.383251,4.873499,0.006045227,-0.1154034,1.214852,0.0278804,-0.1068204,1.214767,0.01952062,0.2242492,1.611337,0.02427037,-0.07145841,1.217947,0.04014801,-0.140564,1.180745,0.02717548,-0.2184573,1.562835,0.031045,-0.5244975,1.510062,-0.1532977,-0.03831535,1.58419,-0.05687185,-0.5181863,1.48638,-0.1979892,-0.2076247,1.458709,0.2446652,-0.1146674,1.402422,NA,NA,NotTracked,NotTracked,
0.5507813,1.228516,0.2490234,-0.2612305,-0.8408203,0.2973633,-8,-22,-25,-9,-3,-4,2,-20,12,21,10,-3,31,9,1,6,-44.375,-44.375,-44.375,13.625,13.625,13.625,7.214038,4.972041,3.112595,3.220112,5.383983,4.890928,0.01081988,-0.1194566,1.220617,0.03237306,-0.1202743,1.21272,0.0195615,0.2240388,1.611677,0.01414819,-0.08997709,1.249666,0.04303315,-0.1496945,1.176443,0.02715639,-0.2179098,1.56461,0.03133943,-0.5225993,1.510998,-0.1532975,-0.03833417,1.584192,-0.05611138,-0.5164219,1.486606,-0.1971787,-0.2093627,1.459718,0.2449745,-0.1155306,1.40339,NA,NA,NotTracked,NotTracked,
0.1103516,1.112793,0.3779297,-0.1655273,-0.8525391,0.4223633,1,22,-21,-5,1,-1,-3,3,1,-3,-1,1,3,14,9,4,-81.375,-81.375,-81.375,7.625,7.625,7.625,7.075517,4.899855,3.090012,3.252393,5.275609,4.959459,0.01349811,-0.1417917,1.21694,0.03699851,-0.1412378,1.212459,0.01939453,0.2236527,1.611943,0.03857925,-0.1021432,1.216583,0.04693065,-0.1776907,1.185604,0.02699378,-0.2176107,1.567411,0.03171484,-0.5205949,1.511786,-0.1533456,-0.03843687,1.584232,-0.05520556,-0.5145253,1.486561,-0.1964747,-0.2130005,1.462743,0.2481534,-0.1249909,1.411555,NA,NA,NotTracked,NotTracked,
0.2211914,0.9462891,0.4492188,-0.1235352,-0.8325195,0.4692383,13,13,-26,-22,-5,-4,-5,-4,2,-2,-3,-4,0,-15,-4,-2,-112.4375,-112.4375,-112.4375,-3.0625,-3.0625,-3.0625,6.957639,4.938882,3.080683,3.26525,5.15256,5.000468,0.01034823,-0.152005,1.223536,0.03973654,-0.1410142,1.220991,0.0192673,0.2235896,1.611929,0.01966123,-0.1084553,1.218311,0.03256087,-0.18306,1.200572,0.026487,-0.2178493,1.569408,0.03173282,-0.5198411,1.512266,-0.1533785,-0.03823788,1.585004,-0.05496323,-0.5139031,1.48663,-0.1988531,-0.2145401,1.471631,0.2590557,-0.1388601,1.427538,NA,NA,NotTracked,NotTracked,
0.2202148,0.862793,0.4980469,-0.06835938,-0.887207,0.4882813,14,-6,16,-4,-4,-2,-3,-2,-2,-2,-4,-8,-9,0,9,4,-115.375,-115.375,-115.375,0.625,0.625,0.625,6.89211,4.967636,3.080194,3.265435,5.076233,5.04105,0.01314864,-0.144471,1.226217,0.03916158,-0.1366347,1.225182,0.01920084,0.2236943,1.611647,0.005990928,-0.106788,1.221769,0.01520867,-0.1762019,1.206568,0.02646108,-0.2177872,1.569398,0.0316903,-0.5196645,1.512294,-0.1534226,-0.0379855,1.585581,-0.05494224,-0.5136595,1.486418,-0.2006397,-0.2148278,1.476107,0.2615059,-0.1590128,1.426991,NA,NA,NotTracked,NotTracked,
-0.1166992,0.7358398,0.4794922,0.01904297,-0.8642578,0.5009766,1,-5,26,13,7,4,2,2,-13,-3,-1,14,23,4,6,-1,-63.75,-63.75,-63.75,5,5,5,6.738336,5.058791,3.09093,3.270495,5.029139,5.061396,0.01579217,-0.1371634,1.230478,0.042785,-0.1288806,1.230174,0.01922714,0.2236897,1.611188,-0.007117777,-0.116328,1.20493,0.0234015,-0.1663986,1.215548,0.02638605,-0.2178762,1.569494,0.03157166,-0.519451,1.512346,-0.1534968,-0.03793198,1.585852,-0.05499327,-0.5134793,1.486387,-0.2011492,-0.2154908,1.478617,0.2466224,-0.1717658,1.422336,NA,NA,NotTracked,NotTracked,
-0.184082,0.965332,0.6005859,0.03955078,-0.9052734,0.5634766,-1,16,34,12,2,1,-2,-6,4,0,0,-2,2,-1,3,5,-34.9375,-34.9375,-34.9375,20.75,20.75,20.75,6.693528,5.1145,3.085674,3.296292,4.897499,5.103498,0.02137852,-0.1292349,1.236436,0.0450742,-0.1227199,1.236453,0.01924329,0.2237781,1.610804,0.003053039,-0.09962948,1.213729,0.01630672,-0.158508,1.2275,0.02634195,-0.2178839,1.569516,0.03141575,-0.5191031,1.512322,-0.1535276,-0.03794606,1.585898,-0.05504374,-0.513185,1.486359,-0.2014783,-0.2164786,1.482287,0.25332,-0.1810706,1.423192,NA,NA,NotTracked,NotTracked,
-0.2910156,1.067383,0.5942383,0.03564453,-0.9580078,0.4453125,1,15,-43,2,1,0,1,3,-5,-4,-4,-5,-17,7,-1,-6,-56.125,-56.125,-56.125,0.4375,0.4375,0.4375,6.599068,5.208642,3.070271,3.296266,4.826963,5.127775,0.0242769,-0.120214,1.260066,0.05840761,-0.1040984,1.255732,0.01951306,0.2242145,1.609975,-0.004085118,-0.09197798,1.251111,0.02139647,-0.1315266,1.242445,0.0262781,-0.2175406,1.569317,0.03099497,-0.518388,1.512334,-0.1536031,-0.03823827,1.585646,-0.05528718,-0.5125707,1.48644,-0.2070739,-0.2134053,1.500523,0.2568409,-0.1945931,1.432155,NA,NA,NotTracked,NotTracked,
