10.264,35.525,23.479,5.9536,41.594,12.563,73.281,124.21,68.753,41,60,46,45,68.346,83,40.548,96,59.284,99.222,77.309,249.84,249.84,249.84,818.44,818.44,818.44,295.15,241.04,284.7,133.1,235.78,380.13,1
16.514,38.047,22.531,8.1953,42.298,11.083,29,32,63.687,37.742,55.418,106.55,68.075,58,69,56,51,54,75,131,50.961,50.961,50.961,236,236,236,151.23,250.06,299.59,319.19,237.35,424.26,1
9.5144,37.909,18.635,9.2762,39.929,6.0005,36,22,60.216,53,54.641,90.429,60.968,33.407,38,32,33.835,34,38,81.065,166.32,166.32,166.32,356.37,356.37,356.37,144.75,230.47,318.22,327.51,219.68,403.32,1
21.902,28.406,10.285,30.775,24.868,3.0958,39,46,47,39,54,48,34.498,37,38,37,46,43,43,39,242.69,242.69,242.69,701.37,701.37,701.37,130.26,179.23,353.57,336.17,164.82,358.22,1
34.137,22.591,6.2178,39.853,19.646,2.5933,35,45,30,32,34,38.014,85,109.44,42,51,46,43,58,43,225.29,225.29,225.29,396.69,396.69,396.69,121.02,155.64,377.56,342.39,144.66,338.1,1
34.8,23.208,6.4473,40.584,20.084,2.1759,22,43,33,30,27,31,22,95.46,40,40,46,44,48,29,292,292,292,846.51,846.51,846.51,123.55,154.62,388.11,334.84,145.13,332.63,1
33.111,23.677,6.833,40.429,20.119,1.2783,38,40,39,32,26,36,73,136,76,56,57,51,44,49,353.42,353.42,353.42,1161,1161,1161,122.77,157.6,399.85,335.95,144.57,332.09,1
29.006,25.603,7.1074,30.777,25.405,3.9609,36,34,40,42,43,31.867,42,128.88,49,48,52,44,64,50,257.31,257.31,257.31,496.06,496.06,496.06,124.93,167.93,398.85,330.88,165.52,343.59,1
36.179,23.577,6.6357,38.72,21.888,1.8013,36,44,36,42,43,37,41,50,52,40,45,49,52,35,359.81,359.81,359.81,417.38,417.38,417.38,124.17,153.19,420.06,339.03,148.19,324.14,1
38.665,22.442,4.3804,39.839,21.138,1.0724,25,38,40,37,44,41,58.562,202.86,75,57,56,41,51,50,346.41,346.41,346.41,441.45,441.45,441.45,118.02,147.96,159.35,342.83,146.07,302.44,1
38.032,22.566,4.0869,39.68,21.398,1.5352,46,46,30,27,41,50,66,236.23,34.114,52,47,57,41,35,330.38,330.38,330.38,430.51,430.51,430.51,115.53,149.16,135.43,337.43,147,300.82,1
35.544,25.394,5.7275,37.99,23.655,2.8096,34,45,44,37,36,51.958,76.261,281.73,57,58,37,57,48,32,206.82,206.82,206.82,300.83,300.83,300.83,120.99,154.88,72.935,332.62,151.52,287.78,1
