42.522,9.3228,6.0742,43.315,11.332,5.3301,0.8916,1.6094,0.92236,0.96296,0.26125,0.12803,1.0051,0.042457,0.92729,0.068254,0.016392,6.2152,0.42469,0.093777,41.728,3.0714,0.73763,-0.14034,-3.3863,3.0357,0.11845,54.034,34,43,50,37,44,29.05,56,44,190.11,53,54,49,69,143,143,143,175.21,175.21,175.21,534.94,534.94,534.94,19.844,19.844,19.844,15.163,31.194,393.79,393.79,393.79,203.09,203.09,203.09,17720,17720,17720,3.277,3.277,3.277,-1.1764,302.74,129.9,132.32,140.93,132.38,313.3,1
42.556,9.8403,5.8476,43.438,9.8853,4.4307,0.37696,0.54786,0.40918,0.96532,0.21993,0.098869,0.99494,0.0091876,0.93185,0.048371,0.009775,6.2506,0.32369,0.065018,41.933,2.1767,0.43988,0.57563,-0.12157,0.062109,0.098459,26,23,32,31,37,26,41,53,40,40,50,40,48,34,26.697,26.697,26.697,28.726,28.726,28.726,128.31,128.31,128.31,2.6946,2.6946,2.6946,3.8394,2.6837,7.2609,7.2609,7.2609,5.6918,5.6918,5.6918,326.74,326.74,326.74,-0.38891,-0.38891,-0.38891,0.19722,305.3,130.16,113.87,139.14,130.05,300.73,1
8.1436,34.395,29.632,2.3957,25.941,37.225,1.3247,1.1016,1.0269,0.097442,0.57778,0.82807,1.014,0.030497,0.0094949,0.33383,0.6857,0.026998,2.2291,4.5901,0.42727,15.022,30.857,-0.3116,-0.8739,-0.82919,0.82721,40.56,69.139,74.44,144.88,65.25,224.52,99.868,35,68,365.27,102,136,105,34,354.27,354.27,354.27,152.17,152.17,152.17,369.31,369.31,369.31,11.235,11.235,11.235,14.482,13.144,126.22,126.22,126.22,162.18,162.18,162.18,5679.7,5679.7,5679.7,-0.44692,-0.44692,-0.44692,-0.98889,286.79,235.38,190.12,181.05,227.16,232.38,1
7.5352,33.963,27.729,6.9503,25.886,34.504,2.4424,1.2427,1.2905,0.3051,0.5783,0.77289,1.0113,0.047442,0.093083,0.33444,0.59736,0.2424,2.2192,3.9424,4.1888,15.05,26.881,1.5918,1.2923,-2.706,0.76675,40.146,127,102.39,100,146.26,145.02,119.6,39,73,220.53,59,135.3,87.821,34,336.23,336.23,336.23,145.28,145.28,145.28,337.25,337.25,337.25,10.851,10.851,10.851,13.957,12.729,117.75,117.75,117.75,139.56,139.56,139.56,5298.6,5298.6,5298.6,-1.0834,-1.0834,-1.0834,-0.58333,290.35,224.36,175.4,177.89,216.53,237.13,1
13.504,29.338,21.248,19.718,22.083,27.251,3.3432,1.9326,2.6113,0.58364,0.50655,0.65443,1.0096,0.079179,0.34063,0.2566,0.42827,1.407,1.6142,2.4584,15.328,11.547,19.272,0.16464,0.45092,-1.231,0.60558,68.028,62.736,71.646,83.268,219.14,213,128.97,34,48,353.21,70,166,185,103,560.14,560.14,560.14,322.92,322.92,322.92,725.44,725.44,725.44,18.172,18.172,18.172,24.143,20.423,330.23,330.23,330.23,466.53,466.53,466.53,14860,14860,14860,0.59652,0.59652,0.59652,0.85278,294.92,197.77,146.07,169.95,187.76,250.16,1
15.953,27.76,19.135,19.676,21.817,24.474,3.2461,1.8599,2.0479,0.63263,0.50888,0.61022,1.0131,0.073104,0.40023,0.25896,0.37236,1.5519,1.5761,1.994,18.01,11.653,16.756,0.04604,0.28798,-0.69323,0.54386,60.387,45.533,95.661,91.632,238.96,176.49,127.52,40,48,352.58,60.179,174.53,129.71,48,670.56,670.56,670.56,432.61,432.61,432.61,779.19,779.19,779.19,22.927,22.927,22.927,29.45,26.941,525.65,525.65,525.65,883.08,883.08,883.08,23654,23654,23654,-0.26822,-0.26822,-0.26822,-3.475,297.78,190.94,136.53,165.14,186.92,255.1,1
18.017,26.685,18.288,18.983,21.34,22.832,3.27,2.2456,2.1294,0.65671,0.49901,0.57664,1.0029,0.084018,0.43127,0.24901,0.33251,1.5971,1.5082,1.7414,19.407,11.206,14.963,0.010133,0.16683,-0.54417,0.50738,64.168,80,135.27,128.51,304.54,218.54,151.2,69,67,343.9,64.815,171.66,139.7,182.46,528.43,528.43,528.43,453.06,453.06,453.06,763.5,763.5,763.5,23.593,23.593,23.593,31.345,26.513,556.62,556.62,556.62,922.11,922.11,922.11,25048,25048,25048,0.34801,0.34801,0.34801,1.2722,299.71,188.5,122.86,162.66,186.35,258.41,1
17.941,26.946,19.618,19.508,20.672,23.19,3.2475,2.3999,2.0483,0.6671,0.482,0.58846,1.0092,0.073148,0.44503,0.23232,0.34629,1.6562,1.415,1.7998,20.026,10.454,15.583,-0.11939,0.16013,-0.4593,0.51534,59.843,73.671,104.62,130,282.95,265.52,149.12,30,30.965,350.68,49.657,181.47,91.208,87.046,482.43,482.43,482.43,452.94,452.94,452.94,956.75,956.75,956.75,23.946,23.946,23.946,29.447,29.537,573.4,573.4,573.4,949.23,949.23,949.23,25803,25803,25803,1.2654,1.2654,1.2654,0.045833,296.57,188.35,117.87,164.05,185.4,257.7,1
41.325,13.813,6.3716,42.942,11.554,5.2095,0.29101,0.53809,0.49512,0.95429,0.25695,0.11623,0.99506,0.0073918,0.91066,0.066025,0.013509,6.1086,0.44219,0.089886,40.98,2.9711,0.60789,0.51974,0.69152,0.66736,0.11577,32,34,38.075,41,31,39,35,47,45,48,53,78,64,45,18.638,18.638,18.638,50.006,50.006,50.006,142.13,142.13,142.13,2.7687,2.7687,2.7687,4.0992,2.5169,7.6658,7.6658,7.6658,11.558,11.558,11.558,344.96,344.96,344.96,0.21896,0.21896,0.21896,-0.525,311.37,136.83,78.091,139.71,133.13,301.59,1
41.069,14.064,7.3872,42.957,11.587,5.7598,0.39892,0.55761,0.52442,0.95465,0.25773,0.13022,0.9973,0.011352,0.91136,0.066425,0.016956,6.1129,0.44473,0.10982,41.011,2.9891,0.76304,0.18899,-0.21671,0.76467,0.12799,35,37,52.604,27,86.687,30.463,23,35,55,141,61,81.752,57.883,39,29.223,29.223,29.223,51,51,51,134.69,134.69,134.69,2.9063,2.9063,2.9063,3.9115,3.2042,8.4464,8.4464,8.4464,10.254,10.254,10.254,380.09,380.09,380.09,0.071854,0.071854,0.071854,-1.1333,307.48,138.08,76.498,142.33,133.48,298.71,1
