ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.887207,-0.3969727,-0.1879883,-0.1054688,1.010254,-0.1821289,-1,-2,-1,1,-1,0,0,0,3,-7,-6,4,-4,-6,-3,-1,14.875,14.875,14.875,-16.625,-16.625,-16.625,1.727509,3.253124,0.654556,7.227186,5.775876,2.932766,-0.1859876,-0.525655,1.122364,0.08032349,-0.02532386,1.144476,0.1395996,0.2413895,1.285897,-0.141698,-0.5124461,1.120582,0.05261436,-0.03453927,1.113429,0.1012814,-0.20787,1.303676,0.08677533,-0.5197599,1.286561,-0.08654085,0.002570519,1.267326,0.001606991,-0.5020009,1.249037,-0.1818582,-0.2543897,1.257241,0.3154181,-0.1611378,1.122962,NA,NA,Unknown,Unknown
0.8847656,-0.3725586,-0.2148438,-0.5473633,1.046387,0.1552734,-2,-1,0,-1,0,0,-1,-1,-21,-8,1,-6,-2,-1,-5,-17,25.3125,25.3125,25.3125,-38.125,-38.125,-38.125,1.776997,3.26515,0.6419243,7.208306,5.773514,2.961564,-0.1845605,-0.5249536,1.121096,0.08059537,-0.02512006,1.151086,0.1405092,0.2411677,1.286599,-0.1398001,-0.513126,1.121061,0.0349699,-0.03126502,1.124529,0.1011643,-0.2082137,1.304135,0.08611122,-0.5201443,1.286815,-0.08591887,0.00283412,1.267517,0.000601325,-0.502436,1.250235,-0.1817029,-0.2539604,1.257298,0.3107775,-0.1636429,1.119043,NA,NA,Unknown,Unknown
0.9003906,-0.3408203,-0.1938477,-0.7636719,1.259766,0.03466797,-4,-2,0,-2,1,-2,-1,0,-9,-6,-10,-19,2,-2,-1,-7,18.5,18.5,18.5,-54.25,-54.25,-54.25,1.834346,3.277534,0.6113136,7.201634,5.767534,2.83843,-0.1847388,-0.5239233,1.121004,0.06478388,-0.01217674,1.139458,0.1409777,0.2408863,1.287032,-0.1404936,-0.5102835,1.121112,0.05227866,-0.06021684,1.164115,0.1011618,-0.2086039,1.304655,0.08542736,-0.521037,1.287602,-0.08456367,0.003167628,1.267468,-0.000141678,-0.5030196,1.251328,-0.1814037,-0.2531819,1.25853,0.3088677,-0.1641649,1.118204,NA,NA,Unknown,Unknown
0.8984375,-0.453125,-0.1748047,-0.3662109,0.2446289,0.5219727,1,-1,-1,-1,-1,-1,1,-2,13,5,31,80,33,15,8,5,2.4375,2.4375,2.4375,35.1875,35.1875,35.1875,1.836675,3.276788,0.6227388,7.088738,5.783533,2.839557,-0.1846986,-0.5244585,1.125231,0.06204125,-0.009321358,1.1371,0.1414509,0.2407471,1.287459,-0.1405473,-0.5102527,1.124258,0.04608817,-0.05933599,1.16453,0.1010639,-0.2087303,1.30496,0.08479851,-0.5219513,1.288364,-0.08367668,0.00328342,1.267434,-0.000905534,-0.5035698,1.252181,-0.1807878,-0.2528794,1.260287,0.3071999,-0.1640656,1.117887,NA,NA,Unknown,Unknown
0.8837891,-0.3041992,-0.2358398,-0.4204102,1.197754,0.1933594,0,-1,-2,-2,-2,0,-1,-1,-6,-4,-6,-17,-7,-14,-4,-1,8.75,8.75,8.75,55.0625,55.0625,55.0625,1.822348,3.250022,0.6781624,7.19816,5.754853,2.935776,-0.186482,-0.5249134,1.133643,0.0747113,-0.03389122,1.155941,0.141802,0.2405986,1.287819,-0.1442348,-0.5096947,1.132276,0.02066621,-0.03989775,1.132,0.1008544,-0.2089724,1.30547,0.084047,-0.522094,1.288632,-0.08336271,0.00349311,1.267796,-0.001734987,-0.5035264,1.253074,-0.1804549,-0.2525292,1.263217,0.3054773,-0.1642166,1.116872,NA,NA,Unknown,Unknown
0.8427734,-0.46875,-0.2373047,-0.08300781,0.6035156,0.5966797,-2,-3,-1,-3,-2,-2,1,0,6,13,9,0,-1,-2,9,11,-38.8125,-38.8125,-38.8125,109.5,109.5,109.5,1.733924,3.239316,0.719088,7.162042,5.801506,2.894141,-0.1899087,-0.5266849,1.142225,0.0731199,-0.03087582,1.15053,0.1422592,0.2403994,1.288464,-0.145231,-0.5206055,1.13912,0.02938428,-0.03393719,1.1242,0.1007112,-0.2092157,1.306098,0.08339033,-0.5222025,1.288888,-0.08320313,0.003698445,1.268463,-0.002341197,-0.5034862,1.25396,-0.1807193,-0.2520544,1.265447,0.3040908,-0.1643846,1.115961,NA,NA,Unknown,Unknown
0.9301758,-0.4291992,-0.1665039,-0.734375,0.8979492,0.05126953,-1,-1,1,1,0,1,0,0,2,3,11,57,9,-2,6,3,13.4375,13.4375,13.4375,-116.5,-116.5,-116.5,1.702846,3.245733,0.7550356,7.152107,5.787098,2.870677,-0.1946282,-0.5262642,1.145165,0.0584427,-0.01541182,1.141383,0.1428382,0.2403584,1.289221,-0.151177,-0.5119076,1.143161,0.04205103,-0.0622467,1.164275,0.1005983,-0.2093675,1.306351,0.08279382,-0.5225164,1.289086,-0.08270968,0.003922266,1.268565,-0.002748927,-0.5036143,1.254114,-0.1808827,-0.2513258,1.268864,0.3034536,-0.1640124,1.115421,NA,NA,Unknown,Unknown
0.8447266,-0.4672852,-0.2207031,-0.3676758,0.465332,0.6010742,-1,-2,0,0,-1,0,-1,-1,1,-4,-13,-31,-12,3,1,-3,37.8125,37.8125,37.8125,85.75,85.75,85.75,1.713439,3.246918,0.7988136,7.090252,5.795558,2.840007,-0.1977573,-0.5270843,1.147794,0.0593554,-0.01416246,1.141527,0.1433961,0.2403477,1.28962,-0.1519486,-0.5178784,1.144582,0.04204057,-0.06221818,1.164167,0.1003895,-0.2094214,1.306454,0.08205602,-0.5231276,1.289397,-0.07850372,0.003284049,1.268337,-0.003506456,-0.5039295,1.254274,-0.1806432,-0.2502202,1.27067,0.3030187,-0.1637615,1.115064,NA,NA,Unknown,Unknown
0.8735352,-0.3354492,-0.2446289,-0.4785156,0.8334961,-0.534668,-3,-2,0,-2,-1,-1,0,-2,6,1,1,-1,-5,-2,-2,0,-25.9375,-25.9375,-25.9375,-82.5625,-82.5625,-82.5625,1.683631,3.23269,0.8314664,7.172656,5.759299,2.945458,-0.2013697,-0.5264341,1.151261,0.07188296,-0.03367484,1.156251,0.1436396,0.240417,1.289887,-0.1577247,-0.514172,1.146964,0.01457018,-0.04234185,1.136,0.1004121,-0.2094697,1.306512,0.08195598,-0.5231221,1.289348,-0.07922734,0.003627407,1.269073,-0.003522181,-0.5039138,1.254304,-0.1816342,-0.2496604,1.272483,0.3031622,-0.1637668,1.114595,NA,NA,Unknown,Unknown
0.859375,-0.5180664,-0.1777344,-0.1289063,0.940918,0.5097656,-1,-2,0,-2,-2,-2,1,-2,-3,-2,-1,-4,-3,-2,-1,-2,-19.5625,-19.5625,-19.5625,73.6875,73.6875,73.6875,1.649407,3.240413,0.8124786,7.088103,5.770364,2.819421,-0.201324,-0.5265693,1.14916,0.06697512,-0.02894917,1.147035,0.1437616,0.2404409,1.289955,-0.1596862,-0.5099736,1.150314,0.03949354,-0.06757763,1.157281,0.1004559,-0.2095567,1.306625,0.08155915,-0.5230898,1.289295,-0.0796155,0.003840206,1.269412,-0.003824702,-0.503835,1.254602,-0.1820417,-0.2494398,1.272794,0.3033351,-0.1639344,1.114302,NA,NA,Unknown,Unknown
0.9145508,-0.4321289,-0.1674805,-0.5058594,0.9467773,0.3383789,-2,-2,-2,-2,0,-1,-2,-1,-1,0,-5,-4,-3,-1,-2,0,12.625,12.625,12.625,-71.5625,-71.5625,-71.5625,1.685517,3.255669,0.7969413,7.044153,5.71837,2.755192,-0.2023056,-0.5253411,1.14435,0.06232953,-0.02241703,1.137256,0.1438618,0.240502,1.290115,-0.1567521,-0.5131222,1.144192,0.04028603,-0.06641175,1.156179,0.1005361,-0.2096114,1.306598,0.08134372,-0.5231196,1.289039,-0.07978103,0.003970028,1.269439,-0.003866971,-0.503821,1.25439,-0.1822455,-0.2492943,1.272815,0.3051778,-0.1646992,1.115294,NA,NA,Unknown,Unknown
