ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9472656,-0.9887695,0.1567383,0.9589844,0.7661133,0.3828125,-3,-1,-3,-1,1,-3,-5,-3,-1,6,2,1,-2,-2,-2,-2,29,29,29,-5.1875,-5.1875,-5.1875,2.593331,3.717819,9.511181,6.954692,3.741683,9.827884,-0.07579371,-0.4152364,1.049188,0.3044391,-0.4645059,1.07499,0.1604077,0.2386308,1.282436,-0.09114222,-0.4971755,1.0745,0.343649,-0.494337,1.066,0.1181973,-0.2062872,1.298127,0.113165,-0.5100943,1.278213,-0.0811883,0.004348873,1.267329,0.0235246,-0.4933905,1.236539,-0.1793948,-0.2299219,1.251587,0.375551,-0.2753303,1.255178,NA,NA,Unknown,Unknown
0.6206055,-1.102051,0.2260742,0.75,1.210449,0.4042969,1,-2,-2,2,14,1,-1,-2,9,9,-6,-2,3,-2,-7,-6,35,35,35,30.8125,30.8125,30.8125,2.803748,4.120295,9.273312,6.937887,4.165863,9.954442,-0.01333966,-0.3159256,1.019663,0.2672548,-0.3924703,1.059401,0.1604442,0.2387793,1.283628,0.0154851,-0.3861589,1.038273,0.2453655,-0.3648756,1.028714,0.1193006,-0.2051718,1.298057,0.114428,-0.5078891,1.276567,-0.07880757,0.005215605,1.268027,0.02483198,-0.4909472,1.233699,-0.1833325,-0.2017302,1.243084,0.3825409,-0.244813,1.271073,NA,NA,Unknown,Unknown
0.1547852,-0.8007813,0.2036133,0.300293,0.840332,0.3549805,-1,0,-1,0,6,2,1,0,1,0,7,3,1,0,0,1,46.0625,46.0625,46.0625,-53.0625,-53.0625,-53.0625,3.018701,4.701387,9.020233,6.829442,4.688548,0.06144313,0.02345791,-0.2113685,0.9945694,0.237291,-0.275014,1.046704,0.1603146,0.2390632,1.285773,0.04022359,-0.2716825,1.040941,0.1904818,-0.302866,1.08895,0.1201314,-0.2041026,1.297997,0.1154618,-0.5054824,1.273903,-0.07309938,0.005779651,1.267563,0.02655777,-0.4892242,1.232579,-0.2151933,-0.2085795,1.170953,0.4396488,-0.2303668,1.250503,NA,NA,Open,Unknown
0.000488281,-0.7412109,0.2900391,-0.2089844,0.7856445,0.2460938,-2,-2,-3,-1,0,-2,-4,-5,8,4,1,-1,0,-3,-4,1,-45.125,-45.125,-45.125,51.25,51.25,51.25,3.005146,5.080835,8.858079,6.929957,5.436419,0.2023547,0.05157006,-0.113723,0.9845289,0.2294558,-0.1367584,1.059416,0.1599047,0.2395385,1.289188,0.05155743,-0.1475434,0.9642122,0.1911487,-0.140604,1.116333,0.1204112,-0.2039853,1.298345,0.116744,-0.5069059,1.273531,-0.07401989,0.006271875,1.267477,0.029946,-0.4913422,1.232261,-0.1826756,-0.1778533,1.166138,0.438941,-0.2441521,1.242003,NA,NA,Closed,NotTracked
-0.02636719,-0.8310547,0.3295898,-0.4545898,0.3764648,0.2050781,-3,-3,-2,-5,-3,1,-1,-2,-4,-5,-2,6,-4,-2,2,1,-51.5625,-51.5625,-51.5625,-43.6875,-43.6875,-43.6875,2.894608,5.370246,8.713294,6.959607,5.880783,0.3467345,0.07078695,-0.04551172,0.9894048,0.2345096,-0.03388584,1.116486,0.1588837,0.2395664,1.29425,0.08558927,-0.07497925,0.9575937,0.2057726,-0.03604986,1.1539,0.1207923,-0.2055922,1.299458,0.1175814,-0.5142758,1.27285,-0.07498576,0.00883114,1.267338,0.03014809,-0.4992387,1.232811,-0.1882673,-0.1727325,1.11937,0.4323498,-0.2525258,1.248279,NA,NA,NotTracked,Unknown
-0.04492188,-0.8344727,0.3168945,-0.484375,0.2558594,0.2397461,-2,0,-1,-5,-4,-1,2,1,-19,-16,-14,-9,-5,-5,-3,-11,-21.625,-21.625,-21.625,-31.0625,-31.0625,-31.0625,2.813662,5.545358,8.58626,6.966413,6.140225,0.4864824,0.09170692,0.002467403,0.9980029,0.2231997,0.03690268,1.142097,0.1544804,0.2450301,1.302068,0.1084443,-0.02942772,0.9663076,0.1627795,-2.87E-05,1.030667,0.119495,-0.2059518,1.298406,0.1156796,-0.5225884,1.272427,-0.07551443,0.01097721,1.266767,0.02698417,-0.5083365,1.236861,-0.1639788,-0.1549473,1.090794,0.3830571,-0.2011189,1.217836,NA,NA,NotTracked,NotTracked
-0.1206055,-0.699707,0.1762695,-0.5161133,0.6000977,0.2563477,-2,-1,-2,0,1,-3,-3,-2,-2,2,-3,-3,-1,0,0,-2,0.3125,0.3125,0.3125,-55.1875,-55.1875,-55.1875,2.778721,5.6415,8.477616,7.008772,6.218474,0.61426,0.08010535,0.01169781,1.005461,0.225898,0.02599772,1.163329,0.1509569,0.2576291,1.310286,0.1180853,-0.007778486,0.9717274,0.1841877,0.020441,1.022,0.1203394,-0.2033986,1.294742,0.1156037,-0.524858,1.272262,-0.07558469,0.01369612,1.26648,0.02686516,-0.5102316,1.237324,-0.1397192,-0.1311579,1.094636,0.3813784,-0.1995874,1.21355,NA,NA,Unknown,NotTracked
-0.1801758,-0.7749023,0.1621094,-0.6181641,0.6098633,0.2041016,0,-1,-1,-4,-2,-2,-1,-2,4,6,3,2,2,3,5,7,-17.375,-17.375,-17.375,-86.4375,-86.4375,-86.4375,2.726276,5.686485,8.3985,6.927527,6.171319,0.6985545,0.1149791,0.03311663,1.011231,0.2150167,0.0100814,1.161489,0.1499704,0.2588066,1.314202,0.138689,0.000378434,0.9787666,0.1859045,0.02346201,1.023236,0.1198319,-0.2035232,1.294369,0.1156226,-0.5267521,1.272139,-0.07565932,0.01600464,1.266191,0.02700704,-0.5116805,1.237576,-0.1334824,-0.1254105,1.091663,0.3778394,-0.2014895,1.208405,NA,NA,Unknown,NotTracked
-0.2294922,-0.8027344,0.1088867,-0.6420898,0.7495117,0.190918,0,-1,-1,-2,-3,-2,3,2,5,1,4,0,-1,0,5,4,19.5,19.5,19.5,-98.4375,-98.4375,-98.4375,2.721411,5.678977,8.349458,6.822812,6.08256,0.7453489,0.08921736,0.005153102,1.011683,0.1530467,0.04574932,1.030251,0.1501241,0.2595072,1.316278,0.06962157,0.0375163,1.007217,0.08465171,0.05094904,1.01375,0.1186614,-0.2036494,1.294101,0.114977,-0.5285158,1.27174,-0.07575636,0.01769614,1.265982,0.02666336,-0.5127945,1.237765,-0.1304096,-0.1240758,1.090274,0.3747522,-0.2043829,1.206333,NA,NA,NotTracked,NotTracked
-0.3730469,-0.9555664,0.1533203,-0.4160156,0.6601563,0.4663086,-4,-1,-1,-3,-3,-3,-2,-8,14,6,2,-6,-3,-2,-2,-3,32.9375,32.9375,32.9375,-75.4375,-75.4375,-75.4375,2.771896,5.61104,8.289567,6.578073,5.828427,0.7449657,0.09245788,-0.001659974,1.020006,0.1550387,0.03794358,1.048078,0.1508852,0.2596872,1.317806,0.07113918,0.03094575,1.016731,0.09618118,0.02837957,1.027286,0.117259,-0.2039125,1.294143,0.1141293,-0.5304543,1.271427,-0.0757043,0.01833492,1.265986,0.02615658,-0.5143656,1.238494,-0.1291734,-0.1249455,1.091465,0.3711617,-0.20697,1.206702,NA,NA,NotTracked,NotTracked
